Date,Open,High,Low,Close,Adj Close,Volume
2019-10-01,113.040001,113.040001,111.870003,112.250000,112.250000,565860
2019-10-02,111.750000,111.750000,110.029999,110.489998,110.489998,221420
2019-10-03,110.599998,111.400002,109.089996,111.400002,111.400002,464970
2019-10-04,111.620003,112.650002,110.510002,112.650002,112.650002,291060
2019-10-07,112.650002,114.750000,110.050003,110.500000,110.500000,209250
2019-10-08,110.500000,110.930000,108.870003,109.500000,109.500000,87500
2019-10-09,110.300003,110.989998,109.889999,110.699997,110.699997,70440
2019-10-10,111.000000,111.459999,110.379997,110.500000,110.500000,16630
2019-10-11,111.000000,112.820000,111.000000,112.529999,112.529999,50320
2019-10-14,112.639999,113.209999,111.760002,113.000000,113.000000,30360
2019-10-15,113.000000,113.309998,112.449997,112.599998,112.599998,72740
2019-10-16,112.589996,113.839996,111.300003,113.839996,113.839996,28980
2019-10-17,113.860001,114.260002,113.040001,114.089996,114.089996,41640
2019-10-18,114.099998,114.500000,113.349998,114.000000,114.000000,31070
2019-10-21,114.099998,115.190002,113.750000,115.190002,115.190002,46760
2019-10-22,115.059998,115.699997,114.809998,115.599998,115.599998,47570
2019-10-23,115.709999,115.910004,114.510002,115.309998,115.309998,518570
2019-10-24,115.500000,115.739998,113.699997,114.580002,114.580002,426340
2019-10-25,114.699997,115.139999,114.000000,114.150002,114.150002,340220
2019-10-28,114.169998,114.839996,114.000000,114.400002,114.400002,226310
2019-10-29,114.500000,115.169998,114.239998,115.139999,115.139999,232100
2019-10-30,115.000000,116.000000,114.260002,116.000000,116.000000,407410
2019-10-31,115.800003,115.800003,114.900002,115.570000,115.570000,161150
2019-11-01,116.290001,117.500000,116.050003,117.419998,117.419998,185080
2019-11-04,117.889999,118.599998,117.599998,118.099998,118.099998,68740
2019-11-05,118.099998,118.430000,116.089996,116.709999,116.709999,92600
2019-11-06,116.709999,117.730003,115.750000,117.730003,117.730003,1183900
2019-11-07,117.879997,119.599998,117.750000,118.900002,118.900002,192340
2019-11-08,118.699997,118.699997,116.099998,116.410004,116.410004,559490
2019-11-11,116.000000,117.129997,115.550003,116.849998,116.849998,136400
2019-11-12,116.849998,117.019997,114.690002,114.900002,114.900002,134270
2019-11-13,114.800003,115.169998,114.000000,114.500000,114.500000,57160
2019-11-14,114.589996,116.940002,114.500000,116.300003,116.300003,557430
2019-11-18,117.250000,117.900002,116.000000,116.750000,116.750000,284320
2019-11-19,117.000000,117.290001,115.739998,116.500000,116.500000,81200
2019-11-21,116.389999,118.300003,115.610001,118.300003,118.300003,51670
2019-11-22,118.339996,119.400002,117.800003,119.400002,119.400002,55100
2019-11-25,119.680000,120.050003,118.919998,119.690002,119.690002,600060
2019-11-26,119.690002,119.690002,117.820000,119.480003,119.480003,170240
2019-11-27,119.000000,119.989998,117.970001,119.750000,119.750000,397670
2019-11-28,119.650002,121.199997,119.589996,121.199997,121.199997,83760
2019-11-29,121.190002,121.989998,120.010002,121.199997,121.199997,375470
